Year,County,Violent_sum,Property_sum
1985,Nevada County,0,3
1985,Nevada County,0,18
1985,Nevada County,0,92
1985,Orange County,602,10082
1985,Orange County,1162,16409
1985,Orange County,173,1750
1985,Orange County,340,3321
1985,Orange County,456,5913
1985,Orange County,116,1669
1985,Orange County,38,440
1985,Orange County,159,2652
1985,Orange County,416,6213
1985,Orange County,823,8498
1985,Orange County,466,8033
1985,Orange County,73,1126
1985,Orange County,129,2132
1985,Orange County,32,546
1985,Orange County,152,4698
1985,Orange County,455,5354
1985,Orange County,96,1333
1985,Orange County,70,976
1985,Orange County,60,810
1985,Orange County,1558,20901
1985,Orange County,89,813
1985,Orange County,159,1411
1985,Orange County,346,2768
1985,Orange County,9,160
1985,Orange County,317,4061
1985,Orange County,82,678
1985,Orange County,120,3582
1985,Orange County,4,325
1985,Orange County,42,20
1985,Orange County,0,0
1985,Orange County,1,4
1985,Orange County,8,143
1985,Orange County,3,125
1985,Orange County,5,82
1985,Orange County,5,609
1985,Orange County,5,85
1985,Orange County,2,46
1985,Placer County,339,2765
1985,Placer County,18,539
1985,Placer County,10,72
1985,Placer County,29,214
1985,Placer County,25,341
1985,Placer County,92,1856
1985,Placer County,3,41
1985,Placer County,0,0
1985,Placer County,0,167
1985,Plumas County,49,882
1985,Plumas County,0,0
1985,Plumas County,0,2
1985,Plumas County,0,16
1985,Riverside County,1874,21072
1985,Riverside County,118,1559
1985,Riverside County,59,592
1985,Riverside County,74,915
1985,Riverside County,94,846
1985,Riverside County,59,446
1985,Riverside County,111,1737
1985,Riverside County,389,3892
1985,Riverside County,224,2944
1985,Riverside County,121,1213
1985,Riverside County,1870,13818
1985,Riverside County,41,619
1985,Riverside County,190,3366
1985,Riverside County,10,24
1985,Riverside County,3,6
1985,Riverside County,0,1
1985,Riverside County,5,90
1985,Riverside County,82,880
1985,Riverside County,0,2
1985,Riverside County,1,0
1985,Riverside County,0,6
1985,Riverside County,2,293
1985,Riverside County,0,10
1985,Riverside County,0,83
1985,Sacramento County,2,435
1986,Sacramento County,7,435
1987,Sacramento County,1,467
1988,Sacramento County,0,601
1989,Sacramento County,0,1644
1990,Sacramento County,3,5858
1991,Sacramento County,0,7498
1992,Sacramento County,0,7408
1993,Sacramento County,0,8605
1994,Sacramento County,0,10142
1995,Sacramento County,19,9557
1996,Sacramento County,15,9653
1997,Sacramento County,13,11297
1985,San Benito County,88,286
1985,San Benito County,57,967
1985,San Benito County,4,28
1985,San Benito County,0,0
1985,San Benito County,0,0
1985,San Benito County,0,5
1985,San Benito County,0,15
1985,San Bernardino County,2575,14706
1985,San Bernardino County,165,1074
1985,San Bernardino County,210,1984
1985,San Bernardino County,318,1903
1985,San Bernardino County,328,3314
1985,San Bernardino County,272,2220
1985,San Bernardino County,55,375
1985,San Bernardino County,1001,6758
1985,San Bernardino County,181,2230
1985,San Bernardino County,316,2911
1985,San Bernardino County,2248,12753
1985,San Bernardino County,138,2428
1985,San Bernardino County,329,1750
1985,San Bernardino County,49,164
1985,San Bernardino County,2,75
1985,San Bernardino County,166,2531
1985,San Bernardino County,52,114
1985,San Bernardino County,28,33
1985,San Bernardino County,0,11
1985,San Bernardino County,53,511
1985,San Bernardino County,26,390
1985,San Bernardino County,53,494
1985,San Bernardino County,0,26
1985,San Bernardino County,5,51
1985,San Bernardino County,4,104
1985,San Diego County,2005,18301
1985,San Diego County,167,2126
1985,San Diego County,489,4954
1985,San Diego County,72,904
1985,San Diego County,285,4648
1985,San Diego County,281,3889
1985,San Diego County,132,2369
1985,San Diego County,497,4161
1985,San Diego County,572,4269
1985,San Diego County,6250,61643
1985,San Diego County,26,1158
1985,San Diego County,21,9
1985,San Diego County,0,0
1985,San Diego County,0,2
1985,San Diego County,0,29
1985,San Diego County,0,0
1985,San Diego County,8,152
1985,San Diego County,5,789
1985,San Diego County,0,77
1985,San Diego County,7,124
1985,San Francisco County,43,0
1985,San Francisco County,9502,49088
1985,San Francisco County,3,448
1985,San Francisco County,27,155
1985,San Francisco County,0,0
1985,San Francisco County,23,21
1985,San Francisco County,0,9
1985,San Francisco County,8,466
1985,San Francisco County,61,195
1985,San Francisco County,0,13
1985,San Joaquin County,462,6663
1985,San Joaquin County,14,92
1985,San Joaquin County,200,2989
1985,San Joaquin County,99,2381
1985,San Joaquin County,14,257
1985,San Joaquin County,1561,17828
1985,San Joaquin County,49,1277
1985,San Joaquin County,1,38
1985,San Joaquin County,5,7
1985,San Joaquin County,1,33
1985,San Joaquin County,23,48
1985,San Joaquin County,12,30
1985,San Joaquin County,6,461
1985,San Luis Obispo County,144,1640
1985,San Luis Obispo County,31,711
1985,San Luis Obispo County,39,341
1985,San Luis Obispo County,24,268
1985,San Luis Obispo County,111,775
1985,San Luis Obispo County,49,356
1985,San Luis Obispo County,87,1968
1985,San Luis Obispo County,1,454
1985,San Luis Obispo County,41,576
1985,San Luis Obispo County,1,9
1985,San Luis Obispo County,0,23
1985,San Luis Obispo County,4,186
1985,San Luis Obispo County,2,22
1985,San Luis Obispo County,0,145
1985,San Mateo County,513,4012
1985,San Mateo County,15,225
1985,San Mateo County,35,688
1985,San Mateo County,18,173
1985,San Mateo County,45,1100
1985,San Mateo County,36,387
1985,San Mateo County,254,2764
1985,San Mateo County,27,244
1985,San Mateo County,8,126
1985,San Mateo County,157,1468
1985,San Mateo County,37,567
1985,San Mateo County,75,841
1985,San Mateo County,210,2631
1985,San Mateo County,129,1306
1985,San Mateo County,28,799
1985,San Mateo County,499,4417
1985,San Mateo County,101,1954
1985,San Mateo County,23,163
1985,San Mateo County,31,783
1985,San Mateo County,7,186
1985,San Mateo County,30,14
1985,San Mateo County,1,55
1985,San Mateo County,203,815
1985,San Mateo County,1,15
1985,San Mateo County,1,17
1985,Santa Barbara County,343,4711
1985,Santa Barbara County,36,140
1985,Santa Barbara County,129,1470
1985,Santa Barbara County,360,4372
1985,Santa Barbara County,223,3405
1985,Santa Barbara County,48,382
1985,Santa Barbara County,0,2
1985,Santa Barbara County,3,66
1985,Santa Barbara County,0,1
1985,Santa Barbara County,3,66
1985,Santa Barbara County,5,669
1985,Santa Barbara County,0,0
1985,Santa Barbara County,0,284
1985,Santa Clara County,399,3420
1985,Santa Clara County,194,1899
1985,Santa Clara County,119,1794
1985,Santa Clara County,107,1601
1985,Santa Clara County,64,683
1985,Santa Clara County,7,100
1985,Santa Clara County,87,1457
1985,Santa Clara County,250,2315
1985,Santa Clara County,3,57
1985,Santa Clara County,67,857
1985,Santa Clara County,200,3636
1985,Santa Clara County,164,3666
1985,Santa Clara County,3470,36754
1985,Santa Clara County,278,5129
1985,Santa Clara County,41,660
1985,Santa Clara County,224,3780
1985,Santa Clara County,21,542
1985,Santa Clara County,11,29
1985,Santa Clara County,3,84
1985,Santa Clara County,1,127
1987,Santa Clara County,2,57
1985,Santa Clara County,0,20
1985,Santa Clara County,0,100
1985,Santa Clara County,4,56
1985,Santa Clara County,0,190
1985,Santa Cruz County,267,3621
1985,Santa Cruz County,82,998
1985,Santa Cruz County,306,5529
1985,Santa Cruz County,393,3029
1985,Santa Cruz County,21,502
1985,Santa Cruz County,2,57
1985,Santa Cruz County,0,0
1985,Santa Cruz County,4,79
1985,Santa Cruz County,3,56
1985,Santa Cruz County,7,290
1985,Santa Cruz County,0,289
1985,Shasta County,209,2453
1985,Shasta County,42,560
1985,Shasta County,275,3253
1985,Shasta County,1,2
1985,Shasta County,0,42
1985,Shasta County,5,26
