year,geo_name,geo,soc_name,soc,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,"California","04000US06","Locksmiths & safe repairers","499094",2506,483.581,1.02927,50218.4,11081.4
2014,"California","04000US06","Riggers","499096",984,267.158,0.716289,49063.0,5986.34
2014,"California","04000US06","Helpersinstallation, maintenance, & repair workers ","499098",2690,484.286,1.0503,20344.7,4025.63
2014,"California","04000US06","Firstline supervisors of production & operating workers","511011",80190,2357.95,0.81238,63745.4,1667.41
2014,"California","04000US06","Aircraft structure, surfaces, rigging, & systems assemblers","512011",1528,324.564,1.72153,37773.2,8165.4
2014,"California","04000US06","Electrical, electronics, & electromechanical assemblers","512020",21698,1440.98,1.36676,28634.1,1211.51
2014,"California","04000US06","Engine & other machine assemblers","512031",617,225.128,0.37779,35367.3,6520.5
2014,"California","04000US06","Structural metal fabricators & fitters","512041",1737,428.713,0.571711,39019.0,6752.05
2014,"California","04000US06","Miscellaneous assemblers & fabricators","512090",78780,2405.54,0.741703,28195.7,623.958
2014,"California","04000US06","Bakers","513011",27725,1790.12,1.21085,21487.5,819.662
2014,"California","04000US06","Butchers & other meat, poultry, & fish processing workers","513020",27664,1742.06,0.903824,28488.9,1233.74
2014,"California","04000US06","Food & tobacco roasting, baking, & drying machine operators & tenders","513091",1033,312.437,0.912972,25194.7,3271.43
2014,"California","04000US06","Food batchmakers","513092",10029,854.932,1.01188,23233.7,1650.08
2014,"California","04000US06","Food cooking machine operators & tenders","513093",898,235.926,0.797065,29627.1,6929.23
2014,"California","04000US06","Food processing workers, all other","513099",12868,1085.59,0.998537,34849.1,3301.03
2014,"California","04000US06","Computer control programmers & operators","514010",5391,692.505,0.618331,49862.7,3548.41
2014,"California","04000US06","Extruding & drawing machine setters, operators, & tenders, metal & plastic","514021",508,204.135,0.369699,36005.6,10312.0
2014,"California","04000US06","Forging machine setters, operators, & tenders, metal & plastic","514022",271,135.996,0.302072,37392.5,15403.8
2014,"California","04000US06","Rolling machine setters, operators, & tenders, metal & plastic","514023",411,211.806,0.383789,35423.3,7014.15
2014,"California","04000US06","Machine tool cutting setters, operators, & tenders, metal & plastic","514030",10541,861.891,0.601183,31174.0,2134.25
2014,"California","04000US06","Machinists","514041",32915,1599.87,0.79579,45881.2,1614.38
2014,"California","04000US06","Metal furnace operators, tenders, pourers, & casters","514050",687,263.502,0.264701,43276.0,7185.81
2014,"California","04000US06","Tool & die makers","514111",2157,463.59,0.334189,47060.1,4614.05
2014,"California","04000US06","Welding, soldering, & brazing workers","514120",42567,2189.44,0.664522,38333.9,1333.05
2014,"California","04000US06","Prepress technicians & workers","515111",3478,508.86,0.893184,32610.0,3938.49
2014,"California","04000US06","Printing press operators","515112",18891,1276.3,0.89031,35227.0,1779.92
2014,"California","04000US06","Print binding & finishing workers","515113",1337,298.534,0.4823,25090.6,2694.63
2014,"California","04000US06","Laundry & drycleaning workers","516011",20245,1597.32,0.956286,19849.5,885.709
2014,"California","04000US06","Pressers, textile, garment, & related materials","516021",5395,766.43,1.01589,17057.7,1028.15
2014,"California","04000US06","Sewing machine operators","516031",48279,2185.98,2.31303,17754.0,546.616
2014,"California","04000US06","Shoe & leather workers","516040",954,329.598,0.771756,31731.0,12732.3
2014,"California","04000US06","Tailors, dressmakers, & sewers","516050",11481,888.487,1.76153,31144.1,4493.79
2014,"California","04000US06","Textile knitting & weaving machine setters, operators, & tenders","516063",265,144.818,0.272864,19916.7,2300.5
2014,"California","04000US06","Textile winding, twisting, & drawing out machine setters, operators, & tenders","516064",32,40.2269,0.0227505,21470.7,24404.8
2014,"California","04000US06","Upholsterers","516093",3451,483.367,1.14453,32428.2,7757.63
2014,"California","04000US06","Cabinetmakers & bench carpenters","517011",4137,566.796,0.800046,34382.8,3347.47
2014,"California","04000US06","Furniture finishers","517021",847,266.893,0.646702,27734.7,3572.74
2014,"California","04000US06","Sawing machine setters, operators, & tenders, wood","517041",1581,342.735,0.459499,24846.2,2408.53
2014,"California","04000US06","Woodworking machine setters, operators, & tenders, except sawing","517042",1239,334.358,0.558169,28968.5,4798.54
2014,"California","04000US06","Power plant operators, distributors, & dispatchers","518010",3010,437.81,0.555383,99668.1,5848.68
2014,"California","04000US06","Stationary engineers & boiler operators","518021",10506,1144.79,1.02636,66698.3,4103.34
2014,"California","04000US06","Water & wastewater treatment plant & system operators","518031",7389,873.603,0.755862,61745.0,2630.13
2014,"California","04000US06","Miscellaneous plant & system operators","518090",3445,474.756,0.759246,74228.8,4595.64
2014,"California","04000US06","Chemical processing machine setters, operators, & tenders","519010",7190,943.215,1.16085,54656.2,5000.9
2014,"California","04000US06","Crushing, grinding, polishing, mixing, & blending workers","519020",7233,760.127,0.715064,32812.2,3174.07
2014,"California","04000US06","Cutting workers","519030",7441,926.818,0.927458,23899.1,1546.54
2014,"California","04000US06","Extruding, forming, pressing, & compacting machine setters, operators, & tenders","519041",1542,363.746,0.444151,33416.9,4268.27
2014,"California","04000US06","Furnace, kiln, oven, drier, & kettle operators & tenders","519051",800,244.919,0.633427,42957.4,7672.51
2014,"California","04000US06","Inspectors, testers, sorters, samplers, & weighers","519061",90717,2806.27,1.04717,41923.1,959.166
2014,"California","04000US06","Jewelers & precious stone & metal workers","519071",3857,575.559,1.1717,31578.3,3711.02
2014,"California","04000US06","Medical, dental, & ophthalmic laboratory technicians","519080",10854,972.891,1.15967,39089.9,1839.73
2014,"California","04000US06","Packaging & filling machine operators & tenders","519111",30757,1915.74,1.03741,23458.6,914.897
2014,"California","04000US06","Painting workers","519120",13879,1136.94,0.933292,34943.6,2218.76
2014,"California","04000US06","Photographic process workers & processing machine operators","519151",5536,762.411,1.05002,46948.0,10456.9
2014,"California","04000US06","Adhesive bonding machine operators & tenders","519191",957,323.156,0.715528,26522.1,5520.36
2014,"California","04000US06","Etchers & engravers","519194",952,364.759,0.942695,23403.8,3637.89
2014,"California","04000US06","Molders, shapers, & casters, except metal & plastic","519195",3153,580.79,0.972666,37628.6,5448.66
2014,"California","04000US06","Paper goods machine setters, operators, & tenders","519196",2343,458.023,0.71929,28100.7,4358.51
2014,"California","04000US06","Tire builders","519197",119,88.75,0.0713152,33577.0,6856.15
2014,"California","04000US06","Helpersproduction workers","519198",7581,788.068,1.41387,20059.4,1547.52
2014,"California","04000US06","Supervisors of transportation & material moving workers","531000",22600,1229.72,0.91611,55124.2,2418.1
