Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Houma, Louisiana",23.5,81,28.5,98,34468.08511
2016,"Westtown-East Goshen Regional, Pennsylvania",9.2,30,10.1,33,32608.69565
2016,"Tampa, Florida",25.3,951,32.2,"1,212",375889.3281
2016,"Opelika, Alabama",27.8,84,34.5,104,30215.82734
2016,"West Springfield, Massachusetts",29.3,84,32.4,93,28668.94198
2016,"Tewksbury, Massachusetts",18.9,59,23.7,74,31216.93122
2016,"Toledo, Ohio",21.3,592,23.4,652,277934.2723
2016,"Aberdeen, South Dakota",15.8,45,18.9,54,28481.01266
2016,"Xenia, Ohio",15.7,41,25.7,67,26114.64968
2016,"Alabaster, Alabama",18.5,61,24.2,80,32972.97297
2016,"Bristol, Tennessee",25.9,69,33,88,26640.92664
2016,"Rio Rancho, New Mexico",14.1,135,24.4,233,95744.68085
2016,"Kingsport, Tennessee",21.3,113,28.8,153,53051.64319
2016,"Lawrence, Massachusetts",16,129,18.2,147,80625
2016,"Overland Park, Kansas",12.9,243,15.8,298,188372.093
2016,"Fitchburg, Wisconsin",17.1,49,21.3,61,28654.97076
2016,"Concord, North Carolina",18.6,166,21.7,194,89247.31183
2016,"Burleson, Texas",13.5,61,18.2,82,45185.18519
2016,"South Pasadena, California",13.3,35,18.7,49,26315.78947
2016,"Northville Township, Michigan",9.3,27,13.2,38,29032.25806
2016,"Eastpointe, Michigan",11.3,37,12.5,41,32743.36283
2016,"Santa Fe, New Mexico",19.6,166,25.2,213,84693.87755
2016,"Hoffman Estates, Illinois",16.9,88,19.7,103,52071.00592
2016,"Buena Park, California",9.7,81,14.4,121,83505.15464
2016,"Marlboro Township, New Jersey",17.9,73,25.3,103,40782.12291
2016,"Johnston, Rhode Island",22.8,67,27.3,80,29385.96491
2016,"Sterling Heights, Michigan",10.9,145,12.5,165,133027.5229
2016,"Walla Walla, Washington",14.2,46,22,71,32394.3662
2016,"Commerce City, Colorado",17.3,96,21.7,120,55491.32948
2016,"Ocean Township, Monmouth County, New Jersey",22.5,61,27.3,74,27111.11111
2016,"Buckeye, Arizona",13.3,86,17.3,112,64661.65414
2016,"New Rochelle, New York",18.9,152,26.2,211,80423.28042
2016,Metropolitan Police Department of the District of Columbia,55.1,"3,753",63.9,"4,352",681125.2269
2016,"Prescott, Arizona",16.1,68,19.1,81,42236.02484
2016,"Rome, New York",22.9,74,23.5,76,32314.41048
2016,"Spanish Fork, Utah",8.3,32,9.6,37,38554.21687
2016,"Glendale, California",11.4,232,16.2,328,203508.7719
2016,"St. Louis, Missouri",38,"1,194",51.9,"1,632",314210.5263
2016,"Middletown, New York",23.1,64,27,75,27705.62771
2016,"Port Chester Village, New York",20.5,61,21.2,63,29756.09756
2016,"Redlands, California",11.2,80,16.5,118,71428.57143
2016,"Martinez, California",8.6,33,11.7,45,38372.09302
2016,"Hamilton, Ohio",17.8,111,19.2,120,62359.55056
2016,"Shrewsbury, Massachusetts",12.2,45,15.5,57,36885.2459
2016,"Monterey Park, California",11.2,69,15.9,98,61607.14286
2016,"Somerville, Massachusetts",15.7,127,17.6,142,80891.71975
2016,"Mansfield, Ohio",17.6,82,24.9,116,46590.90909
2016,"Mauldin, South Carolina",19.2,49,23.5,60,25520.83333
2016,"West Orange, New Jersey",20.5,97,23.4,111,47317.07317
2016,"Hackensack, New Jersey",26.5,119,30.7,138,44905.66038
2016,"Paso Robles, California",9.7,31,13.8,44,31958.76289
2016,"York Area Regional, Pennsylvania",8,44,8.7,48,55000
2016,"Evansville, Indiana",23.4,281,25.4,305,120085.4701
2016,"Spring Township, Berks County, Pennsylvania",10.5,29,10.9,30,27619.04762
2016,"Hillsboro, Oregon",12.7,133,17.7,185,104724.4094
2016,"El Paso, Texas",14.7,"1,013",18,"1,236",689115.6463
2016,"Huntington, West Virginia",21.6,105,23.9,116,48611.11111
2016,"American Fork/Cedar Hills, Utah",9,35,10.8,42,38888.88889
2016,"Kankakee, Illinois",25.7,68,27.2,72,26459.14397
2016,"Morgantown, West Virginia",20.9,65,24.4,76,31100.47847
2016,"Easton, Pennsylvania",23,62,24.5,66,26956.52174
2016,"Bernards Township, New Jersey",14.1,38,15.9,43,26950.35461
2016,"Burlington, Massachusetts",24.9,65,28,73,26104.41767
2016,"Bethel Park, Pennsylvania",11.8,38,13.7,44,32203.38983
2016,"Whittier, California",13.7,120,19,167,87591.24088
2016,"Port Huron, Michigan",18.5,54,23.6,69,29189.18919
2016,"Morgan Hill, California",8.9,39,13.4,59,43820.22472
2016,"Racine, Wisconsin",24.6,191,27.7,215,77642.27642
2016,"La Crosse, Wisconsin",17.5,92,20.8,109,52571.42857
2016,"New London, Connecticut",28.4,77,34,92,27112.67606
2016,"Urbana, Illinois",12.7,54,16,68,42519.68504
2016,"Shelby Township, Michigan",8.4,66,10.8,85,78571.42857
2016,"Moline, Illinois",18.6,79,23,98,42473.11828
2016,"Waterloo, Iowa",18.1,124,19.4,133,68508.28729
2016,"Deer Park, Texas",16.4,56,24.3,83,34146.34146
2016,"Agawam, Massachusetts",16.3,47,19.8,57,28834.35583
