year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2014,"California","04000US06","Venezuela","373",12411.0,3138.14,0.422525
2014,"California","04000US06","South America","374",1449.0,784.319,0.766564
2014,"California","04000US06","Americas- Not Specified","399",1333.0,563.763,0.7901
2014,"California","04000US06","Algeria","400",3915.0,1913.84,1.48759
2014,"California","04000US06","Cameroon","407",2250.0,1801.26,0.368834
2014,"California","04000US06","Cape Verde","408",467.0,493.002,0.100186
2014,"California","04000US06","Congo","412",333.0,356.665,0.155981
2014,"California","04000US06","Egypt","414",34069.0,5824.29,1.64028
2014,"California","04000US06","Ethiopia","416",26824.0,4650.75,1.03316
2014,"California","04000US06","Eritrea","417",4777.0,1779.59,1.02057
2014,"California","04000US06","Gambia","420",330.0,450.942,0.205937
2014,"California","04000US06","Ghana","421",7025.0,3436.52,0.377104
2014,"California","04000US06","Kenya","427",7020.0,2265.56,0.424437
2014,"California","04000US06","Liberia","429",2918.0,1338.64,0.285964
2014,"California","04000US06","Libya","430",1942.0,991.397,1.11724
2014,"California","04000US06","Morocco","436",7124.0,2248.63,0.759976
2014,"California","04000US06","Nigeria","440",18229.0,3403.97,0.551458
2014,"California","04000US06","Senegal","444",595.0,474.369,0.183611
2014,"California","04000US06","Sierra Leone","447",1784.0,837.225,0.436012
2014,"California","04000US06","Somalia","448",1420.0,1462.59,0.11838
2014,"California","04000US06","South Africa","449",18615.0,2982.82,1.59224
2014,"California","04000US06","Sudan","451",3896.0,1860.54,0.927113
2014,"California","04000US06","Tanzania","453",1631.0,1208.26,0.659637
2014,"California","04000US06","Togo","454",65.0,107.703,0.0282934
2014,"California","04000US06","Uganda","457",3402.0,1604.48,0.930986
2014,"California","04000US06","Democratic Republic of Congo (Zaire)","459",2323.0,1557.68,0.763301
2014,"California","04000US06","Zambia","460",1071.0,651.032,0.936781
2014,"California","04000US06","Zimbabwe","461",3258.0,1275.74,1.3523
2014,"California","04000US06","Africa","462",8343.0,2447.08,0.577805
2014,"California","04000US06","Eastern Africa- Not Specified","463",3010.0,1291.57,0.620136
2014,"California","04000US06","Northern Africa- Not Specified","464",969.0,570.666,0.71365
2014,"California","04000US06","Western Africa- Not Specified","467",2218.0,1192.7,0.387473
2014,"California","04000US06","Other Africa- Not Specified","468",1852.0,996.481,0.545819
2014,"California","04000US06","Australia","501",22109.0,3025.61,1.70681
2014,"California","04000US06","Fiji","508",32055.0,4931.31,6.48976
2014,"California","04000US06","Marshall Islands","511",344.0,271.063,0.134245
2014,"California","04000US06","Micronesia","512",913.0,789.104,0.258414
2014,"California","04000US06","New Zealand","515",7084.0,1650.66,1.66039
2014,"California","04000US06","Tonga","523",5961.0,1905.2,3.49253
2014,"California","04000US06","Samoa","527",4394.0,1793.27,2.66362
2014,"California","04000US06","Other US Island Areas, Oceania, Not Specified or at Sea","554",3690.0,1406.05,1.98733
2015,"California","04000US06","Albania","100",1136.0,402.577,0.109076
2015,"California","04000US06","Austria","102",9062.0,756.271,1.38554
2015,"California","04000US06","Belgium","103",5957.0,682.975,1.15276
2015,"California","04000US06","Bulgaria","104",8696.0,1181.06,1.06394
2015,"California","04000US06","Czechoslovakia","105",2716.0,405.608,1.10444
2015,"California","04000US06","Denmark","106",8367.0,1319.6,2.18568
2015,"California","04000US06","Finland","108",4487.0,795.528,1.75871
2015,"California","04000US06","France","109",41480.0,2180.78,1.57283
2015,"California","04000US06","Germany","110",124945.0,3247.87,0.873779
2015,"California","04000US06","Greece","116",14177.0,1326.12,0.77396
2015,"California","04000US06","Hungary","117",11972.0,1045.7,1.34251
2015,"California","04000US06","Iceland","118",1469.0,476.187,1.09124
2015,"California","04000US06","Ireland","119",20520.0,1617.75,1.25222
2015,"California","04000US06","Italy","120",38175.0,2140.01,0.737608
2015,"California","04000US06","Netherlands","126",20289.0,1173.56,1.72304
2015,"California","04000US06","Norway","127",5706.0,1026.75,1.5919
2015,"California","04000US06","Poland","128",20981.0,1659.03,0.387129
2015,"California","04000US06","Portugal","129",21838.0,1405.35,1.09712
2015,"California","04000US06","Azores Islands","130",6446.0,795.581,2.00777
2015,"California","04000US06","Romania","132",26725.0,1779.85,1.32739
2015,"California","04000US06","Spain","134",18071.0,1472.05,1.11626
2015,"California","04000US06","Sweden","136",13026.0,1187.47,2.09725
2015,"California","04000US06","Switzerland","137",9841.0,969.966,1.72157
2015,"California","04000US06","United Kingdom - Not Specified","138",58539.0,2117.66,1.45557
2015,"California","04000US06","England","139",75225.0,2562.5,1.3993
2015,"California","04000US06","Scotland","140",11770.0,1154.01,1.34111
2015,"California","04000US06","Northern Ireland","142",353.0,183.593,1.06295
2015,"California","04000US06","Yugoslavia","147",6599.0,868.665,0.904781
2015,"California","04000US06","Czech Republic","148",4968.0,654.327,1.37546
2015,"California","04000US06","Slovakia","149",1962.0,623.148,0.799366
2015,"California","04000US06","Bosnia and Herzegovina","150",5275.0,897.937,0.370005
2015,"California","04000US06","Croatia","151",5154.0,695.081,1.00116
2015,"California","04000US06","Macedonia","152",654.0,281.718,0.192806
2015,"California","04000US06","Serbia","154",3440.0,802.911,0.961601
2015,"California","04000US06","Estonia","155",158.0,109.617,0.573389
2015,"California","04000US06","Latvia","156",2937.0,489.518,1.09323
2015,"California","04000US06","Lithuania","157",4049.0,775.626,0.888629
2015,"California","04000US06","Armenia","158",70340.0,3398.2,6.79542
2015,"California","04000US06","Azerbaijan","159",5422.0,1102.27,2.19337
2015,"California","04000US06","Belarus","160",7319.0,837.828,1.09484
2015,"California","04000US06","Georgia","161",3423.0,774.234,1.53992
2015,"California","04000US06","Moldova","162",7718.0,1168.9,1.56615
2015,"California","04000US06","Russia","163",65889.0,3086.95,1.32155
2015,"California","04000US06","Ukraine","164",54038.0,3227.96,1.28005
2015,"California","04000US06","USSR","165",8184.0,1003.58,1.47175
2015,"California","04000US06","Europe, Not Specified","166",161.0,113.979,0.628753
