Year,geo_name,geo,income
2015,"San Joaquin County, CA",05000US06077,53274
2015,"San Luis Obispo County, CA",05000US06079,60691
2015,"San Mateo County, CA",05000US06081,93623
2015,"Santa Barbara County, CA",05000US06083,63985
2015,"Santa Clara County, CA",05000US06085,96310
2015,"Santa Cruz County, CA",05000US06087,67256
2015,"Shasta County, CA",05000US06089,44620
2015,Sierra County,05000US06091,42833
2015,Siskiyou County,05000US06093,37170
2015,"Solano County, CA",05000US06095,66828
2015,"Sonoma County, CA",05000US06097,64240
2015,"Stanislaus County, CA",05000US06099,50125
2015,Sutter County,05000US06101,52017
2015,Tehama County,05000US06103,41001
2015,Trinity County,05000US06105,34974
2015,"Tulare County, CA",05000US06107,42031
2015,Tuolumne County,05000US06109,50306
2015,"Ventura County, CA",05000US06111,77348
2015,"Yolo County, CA",05000US06113,54989
2015,Yuba County,05000US06115,46892
2016,"Alameda County, CA",05000US06001,79831
2016,Alpine County,05000US06003,62375
2016,Amador County,05000US06005,57032
2016,"Butte County, CA",05000US06007,44366
2016,Calaveras County,05000US06009,53502
2016,Colusa County,05000US06011,54946
2016,"Contra Costa County, CA",05000US06013,82881
2016,Del Norte County,05000US06015,42363
2016,"El Dorado County, CA",05000US06017,72586
2016,"Fresno County, CA",05000US06019,45963
2016,Glenn County,05000US06021,41699
2016,"Humboldt County, CA",05000US06023,42685
2016,"Imperial County, CA",05000US06025,42560
2016,Inyo County,05000US06027,47278
2016,"Kern County, CA",05000US06029,49788
2016,"Kings County, CA",05000US06031,47241
2016,Lake County,05000US06033,36132
2016,Lassen County,05000US06035,51457
2016,"Los Angeles County, CA",05000US06037,57952
2016,"Madera County, CA",05000US06039,45742
2016,"Marin County, CA",05000US06041,100310
2016,Mariposa County,05000US06043,49265
2016,Mendocino County,05000US06045,43510
2016,"Merced County, CA",05000US06047,44397
2016,Modoc County,05000US06049,41194
2016,Mono County,05000US06051,58937
2016,"Monterey County, CA",05000US06053,60889
2016,"Napa County, CA",05000US06055,74609
2016,"Nevada County, CA",05000US06057,57429
2016,"Orange County, CA",05000US06059,78145
2016,"Placer County, CA",05000US06061,76926
2016,Plumas County,05000US06063,50125
2016,"Riverside County, CA",05000US06065,57972
2016,"Sacramento County, CA",05000US06067,57509
2016,San Benito County,05000US06069,73814
2016,"San Bernardino County, CA",05000US06071,54469
2016,"San Diego County, CA",05000US06073,66529
2016,"San Francisco County, CA",05000US06075,87701
2016,"San Joaquin County, CA",05000US06077,55045
2016,"San Luis Obispo County, CA",05000US06079,64014
2016,"San Mateo County, CA",05000US06081,98546
2016,"Santa Barbara County, CA",05000US06083,65161
2016,"Santa Clara County, CA",05000US06085,101173
2016,"Santa Cruz County, CA",05000US06087,70088
2016,"Shasta County, CA",05000US06089,45582
2016,Sierra County,05000US06091,43984
2016,Siskiyou County,05000US06093,38524
2016,"Solano County, CA",05000US06095,69227
2016,"Sonoma County, CA",05000US06097,66833
2016,"Stanislaus County, CA",05000US06099,51591
2016,Sutter County,05000US06101,52943
2016,Tehama County,05000US06103,40687
2016,Trinity County,05000US06105,35270
2016,"Tulare County, CA",05000US06107,42789
2016,Tuolumne County,05000US06109,50731
2016,"Ventura County, CA",05000US06111,78593
2016,"Yolo County, CA",05000US06113,57663
2016,Yuba County,05000US06115,48739
