Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Novi, Michigan"	10.4	62	14.1	84	
2016	"Tonawanda Town, New York"	17.9	103	26.2	151	
2016	"Fullerton, California"	9.9	141	14.8	210	
2016	"Shelton, Connecticut"	12.5	52	14.7	61	
2016	"Lodi, California"	10.3	67	14.9	97	
2016	"Miami Beach, Florida"	42.3	394	52.8	492	
2016	"Placentia, California"	8.5	45	12.9	68	
2016	"Biloxi, Mississippi"	27.6	127	38.5	177	
2016	"Chula Vista, California"	8.3	225	11.3	305	
2016	"Fremont, Nebraska"	14	37	15.9	42	
2016	"Lakewood, Ohio"	19.9	100	24.2	122	
2016	"Spring Hill, Tennessee"	12.8	48	13.8	52	
2016	"Maple Grove, Minnesota"	9.5	66	11.3	79	
2016	"College Station, Texas"	11.7	130	16.9	187	
2016	"Montgomery, Alabama"	25.2	503	30.8	614	
2016	"Boise, Idaho"	12.3	272	16.4	363	
2016	"Marlborough, Massachusetts"	16.3	65	19.3	77	
2016	"Pawtucket, Rhode Island"	19.3	138	23.7	170	
2016	"Mishawaka, Indiana"	22.2	107	25.1	121	
2016	"Batavia, Illinois"	15.1	40	17.3	46	
2016	"Wylie, Texas"	12.8	61	13.8	66	
2016	"Stillwater, Oklahoma"	14.5	72	22.4	111	
2016	"Princeton, New Jersey"	17.5	52	23.6	70	
2016	"Weslaco, Texas"	16.5	66	22.5	90	
2016	"Alvin, Texas"	18	47	29.1	76	
2016	"Providence, Rhode Island"	23.6	423	28.5	511	
2016	"Fountain Valley, California"	10.3	59	14	80	
2016	"Pocono Mountain Regional, Pennsylvania"	9.7	41	10.9	46	
2016	"Sunrise, Florida"	18.5	175	24.5	231	
2016	"Syracuse, New York"	28.8	415	33.6	484	
2016	"Apple Valley, Minnesota"	10.1	52	11.6	60	
2016	"Neptune Township, New Jersey"	26.5	73	30.2	83	
2016	"Vernon, Connecticut"	16.9	49	22.1	64	
2016	"Westminster, Colorado"	15.2	174	21.6	247	
2016	"National City, California"	14	86	19.5	120	
2016	"Stamford, Connecticut"	20.5	267	24.2	315	
2016	"Rio Rancho, New Mexico"	14.1	135	24.4	233	
2016	"Kingman, Arizona"	18.6	54	24.4	71	
2016	"Jackson, Tennessee"	31.6	212	38.2	256	
2016	"Sandy, Utah"	11.5	109	15.1	143	
2016	"Baltimore, Maryland"	40.6	"2,512"	47	"2,908"	
2016	"Falls Township, Bucks County, Pennsylvania"	15.4	52	17.7	60	
2016	"Mentor, Ohio"	17.3	81	23.5	110	
2016	"Cranston, Rhode Island"	18.1	147	21.7	176	
2016	"Chicago, Illinois"	43.9	"11,954"	48.2	"13,135"	
2016	"Portland, Oregon"	14.1	908	17.9	"1,150"	
2016	"Jacksonville, Arkansas"	25.1	72	30	86	
2016	"Johns Creek, Georgia"	8.5	72	9.6	81	
2016	"Inver Grove Heights, Minnesota"	11.1	39	12.6	44	
