year,geo_name,geo,university_name,university,grads_total
2013,"California","04000US06","San Jose State University","122755",7709.0
2013,"California","04000US06","College of San Mateo","122791",1285.0
2013,"California","04000US06","Santa Barbara Business College-Bakersfield","122834",285.0
2013,"California","04000US06","Westwood College-Los Angeles","122843",915.0
2013,"California","04000US06","Santa Barbara Business College-Santa Maria","122852",169.0
2013,"California","04000US06","Santa Barbara City College","122889",2841.0
2013,"California","04000US06","Santa Clara University","122931",2618.0
2013,"California","04000US06","Santa Monica College","122977",2580.0
2013,"California","04000US06","Santa Rosa Junior College","123013",4992.0
2013,"California","04000US06","Saybrook University","123095",124.0
2013,"California","04000US06","Scripps College","123165",262.0
2013,"California","04000US06","Wyotech-Fremont","123208",884.0
2013,"California","04000US06","College of the Sequoias","123217",1432.0
2013,"California","04000US06","Shasta Bible College and Graduate School","123280",11.0
2013,"California","04000US06","Shasta College","123299",903.0
2013,"California","04000US06","Sierra College","123341",2612.0
2013,"California","04000US06","Sierra College of Beauty","123350",92.0
2013,"California","04000US06","Sierra Valley College of Court Reporting","123396",11.0
2013,"California","04000US06","Trinity Law School","123448",51.0
2013,"California","04000US06","Simpson University","123457",388.0
2013,"California","04000US06","College of the Siskiyous","123484",294.0
2013,"California","04000US06","Charles A Jones Career and Education Center","123493",632.0
2013,"California","04000US06","Skyline College","123509",1241.0
2013,"California","04000US06","San Bernardino Valley College","123527",1224.0
2013,"California","04000US06","Saint Mary's College of California","123554",1230.0
2013,"California","04000US06","Solano Community College","123563",1462.0
2013,"California","04000US06","Sonoma State University","123572",2017.0
2013,"California","04000US06","Pinnacle College","123581",184.0
2013,"California","04000US06","South Baylo University","123633",113.0
2013,"California","04000US06","South Coast College","123642",74.0
2013,"California","04000US06","Vanguard University of Southern California","123651",543.0
2013,"California","04000US06","Concorde Career College-Garden Grove","123679",601.0
2013,"California","04000US06","Southwestern College","123800",1094.0
2013,"California","04000US06","St John's Seminary","123855",20.0
2013,"California","04000US06","Starr King School for Ministry","123916",20.0
2013,"California","04000US06","Marshall B Ketchum University","123943",101.0
2013,"California","04000US06","Southern California Institute of Architecture","123952",129.0
2013,"California","04000US06","University of Southern California","123961",13442.0
2013,"California","04000US06","Southwestern Law School","123970",318.0
2013,"California","04000US06","Taft College","124113",384.0
2013,"California","04000US06","Claremont School of Theology","124283",53.0
2013,"California","04000US06","Thomas Aquinas College","124292",91.0
2013,"California","04000US06","Marinello Schools of Beauty-Lake Forest","124344",371.0
2013,"California","04000US06","Epic Bible College","124487",74.0
2013,"California","04000US06","United Education Institute-Huntington Park Campus","124681",3978.0
2013,"California","04000US06","Concorde Career College-San Bernardino","124706",647.0
2013,"California","04000US06","Universal College of Beauty Inc-Los Angeles 1","124779",9.0
2013,"California","04000US06","Concorde Career College-North Hollywood","124937",431.0
2013,"California","04000US06","Ventura College","125028",1671.0
2013,"California","04000US06","The Santa Barbara and Ventura Colleges of Law-Ventura","125037",21.0
2013,"California","04000US06","Victor Valley Beauty College Inc","125082",61.0
2013,"California","04000US06","Victor Valley College","125091",1330.0
2013,"California","04000US06","Berkeley City College","125170",261.0
2013,"California","04000US06","Waynes College of Beauty","125310",22.0
2013,"California","04000US06","West Hills College-Coalinga","125462",409.0
2013,"California","04000US06","West Los Angeles College","125471",818.0
2013,"California","04000US06","West Valley College","125499",840.0
2013,"California","04000US06","Carrington College California-Sacramento","125532",656.0
2013,"California","04000US06","Westminster Theological Seminary in California","125718",39.0
2013,"California","04000US06","Westmont College","125727",369.0
2013,"California","04000US06","Whittier College","125763",603.0
2013,"California","04000US06","Woodbury University","125897",427.0
2013,"California","04000US06","The Wright Institute","126012",126.0
2013,"California","04000US06","Western State College of Law at Argosy University","126030",125.0
2013,"California","04000US06","Thomas Jefferson School of Law","126049",376.0
2013,"California","04000US06","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","126076",20.0
2013,"California","04000US06","Yuba College","126119",726.0
2013,"California","04000US06","Ashford University","154022",20027.0
2013,"California","04000US06","Stanford University","243744",5099.0
2013,"California","04000US06","ITT Technical Institute-Sylmar","244011",297.0
2013,"California","04000US06","Antioch University-Los Angeles","245838",346.0
2013,"California","04000US06","Antioch University-Santa Barbara","245847",157.0
2013,"California","04000US06","Carrington College California-San Leandro","246974",343.0
2013,"California","04000US06","Fashion Institute of Design & Merchandising-San Diego","248846",37.0
2013,"California","04000US06","Platt College-Los Angeles","260789",261.0
2013,"California","04000US06","Bethel Seminary-San Diego","262022",36.0
2013,"California","04000US06","Brandman University","262086",2164.0
2013,"California","04000US06","Adrian's College of Beauty Turlock","262369",81.0
2013,"California","04000US06","California Career School","262402",278.0
2013,"California","04000US06","San Joaquin Valley College-Fresno","262457",435.0
2013,"California","04000US06","Heald College-Roseville","363387",541.0
2013,"California","04000US06","Palomar Institute of Cosmetology","365125",113.0
2013,"California","04000US06","InterCoast Colleges-Orange","366289",486.0
2013,"California","04000US06","Las Positas College","366401",680.0
2013,"California","04000US06","California State University-San Marcos","366711",2249.0
2013,"California","04000US06","Kaplan College-Modesto","366960",369.0
2013,"California","04000US06","Madera Beauty College","367662",20.0
2013,"California","04000US06","University of St Augustine for Health Sciences","367954",512.0
2013,"California","04000US06","Hypnosis Motivation Institute","368771",107.0
2013,"California","04000US06","Los Angeles ORT College-Los Angeles Campus","368780",231.0
2013,"California","04000US06","Everest College-West Los Angeles","368805",196.0
2013,"California","04000US06","Thanh Le College School of Cosmetology","368832",44.0
2013,"California","04000US06","Everest College-Ontario","371265",601.0
2013,"California","04000US06","Downey Adult School","371690",639.0
2013,"California","04000US06","Heald College-Stockton","371760",499.0
2013,"California","04000US06","Heald College-Hayward","371779",669.0
2013,"California","04000US06","CRU Institute","371830",21.0
2013,"California","04000US06","Modern Technology School","371928",127.0
2013,"California","04000US06","National Career Education","371964",123.0
2013,"California","04000US06","Everest College-Anaheim","371982",366.0
2013,"California","04000US06","Thuy Princess Beauty College","372000",68.0
2013,"California","04000US06","North-West College-Glendale","372028",86.0
2013,"California","04000US06","Everest College-City of Industry","372037",613.0
2013,"California","04000US06","Fremont College","372073",212.0
2013,"California","04000US06","Pomona Unified School District Adult and Career Education","372082",128.0
2013,"California","04000US06","University of Phoenix-San Diego Campus","372222",1115.0
2013,"California","04000US06","Universal College of Beauty Inc-Los Angeles 2","372240",25.0
2013,"California","04000US06","Bellus Academy-Poway","377722",303.0
2013,"California","04000US06","Capstone College","377759",45.0
2013,"California","04000US06","Central Coast College","378105",147.0
2013,"California","04000US06","ITT Technical Institute-Torrance","378406",238.0
2013,"California","04000US06","Pacific College of Oriental Medicine-San Diego","378576",143.0
2013,"California","04000US06","CET-Coachella","381255",84.0
2013,"California","04000US06","CET-Oxnard","381282",107.0
2013,"California","04000US06","CET-Santa Maria","381325",121.0
2013,"California","04000US06","CET-Rancho Temecula","381334",99.0
2013,"California","04000US06","ITT Technical Institute-San Bernardino","381909",431.0
2013,"California","04000US06","Los Angeles ORT College-Van Nuys Campus","381945",226.0
2013,"California","04000US06","Mt Diablo Adult Education","382258",163.0
2013,"California","04000US06","Royale College of Beauty","382267",43.0
2013,"California","04000US06","Westech College","382276",314.0
2013,"California","04000US06","Hacienda La Puente Adult Education","383084",691.0
2013,"California","04000US06","Acupuncture and Integrative Medicine College-Berkeley","384306",23.0
2013,"California","04000US06","Alhambra Beauty College","393524",122.0
2013,"California","04000US06","American Auto Institute","393649",1742.0
2013,"California","04000US06","Asian American International Beauty College","393861",322.0
2013,"California","04000US06","Avance Beauty College","393977",36.0
2013,"California","04000US06","Colton-Redlands-Yucaipa Regional Occupational Program","395195",235.0
2013,"California","04000US06","Copper Mountain Community College","395362",233.0
2013,"California","04000US06","Diversified Vocational College","395690",1071.0
2013,"California","04000US06","Bristol University","397270",28.0
2013,"California","04000US06","UEI College-Fresno","397942",800.0
2013,"California","04000US06","Mt Sierra College","398130",61.0
2013,"California","04000US06","Wyotech-Long Beach","398574",1053.0
2013,"California","04000US06","Santiago Canyon College","399212",2750.0
2013,"California","04000US06","Southern California Institute of Technology","399869",381.0
2013,"California","04000US06","Soka University of America","399911",121.0
2013,"California","04000US06","Summit College","400080",1052.0
2013,"California","04000US06","Advance Beauty College","400187",454.0
2013,"California","04000US06","Career Colleges of America","400637",650.0
2013,"California","04000US06","World Mission University","401223",53.0
2013,"California","04000US06","Yo San University of Traditional Chinese Medicine","401250",35.0
2013,"California","04000US06","Coast Career Institute","401339",391.0
2013,"California","04000US06","University of Phoenix-Bay Area Campus","406006",309.0
2013,"California","04000US06","University of Phoenix-Southern California Campus","406015",2321.0
2013,"California","04000US06","California State University-Monterey Bay","409698",1200.0
2013,"California","04000US06","Heald College-Salinas","409874",515.0
2013,"California","04000US06","The Art Institute of California-Argosy University Hollywood","410502",280.0
2013,"California","04000US06","Sage College","410520",52.0
2013,"California","04000US06","Marian Health Careers Center-Los Angeles Campus","411684",30.0
2013,"California","04000US06","Anthem College-Sacramento","413635",294.0
2013,"California","04000US06","Crimson Technical College","413680",244.0
2013,"California","04000US06","East San Gabriel Valley Regional Occupational Program","413802",626.0
2013,"California","04000US06","ITT Technical Institute-Oxnard","413848",188.0
2013,"California","04000US06","Four-D College","415774",374.0
2013,"California","04000US06","Premiere Career College","416458",289.0
2013,"California","04000US06","Estes Institute of Cosmetology Arts and Science","417062",74.0
2013,"California","04000US06","Baldwin Park Adult & Community Education","417105",246.0
2013,"California","04000US06","Ventura Adult and Continuing Education","417123",130.0
